fueltype,carbody,carlength,enginesize,horsepower,peakrpm,highwaympg,price
gas,convertible,168.8,130,111,5000,27,13495
gas,convertible,168.8,130,111,5000,27,16500
gas,hatchback,171.2,152,154,5000,26,16500
gas,sedan,176.6,109,102,5500,30,13950
gas,sedan,176.6,136,115,5500,22,17450
gas,sedan,177.3,136,110,5500,25,15250
gas,sedan,192.7,136,110,5500,25,17710
gas,wagon,192.7,136,110,5500,25,18920
gas,sedan,192.7,131,140,5500,20,23875
gas,hatchback,178.2,131,160,5500,22,17859.167
gas,sedan,176.8,108,101,5800,29,16430
gas,sedan,176.8,108,101,5800,29,16925
gas,sedan,176.8,164,121,4250,28,20970
gas,sedan,176.8,164,121,4250,28,21105
gas,sedan,189,164,121,4250,25,24565
gas,sedan,189,209,182,5400,22,30760
gas,sedan,193.8,209,182,5400,22,41315
gas,sedan,197,209,182,5400,20,36880
gas,hatchback,141.1,61,48,5100,53,5151
gas,hatchback,155.9,90,70,5400,43,6295
gas,sedan,158.8,90,70,5400,43,6575
gas,hatchback,157.3,90,68,5500,41,5572
gas,hatchback,157.3,90,68,5500,38,6377
gas,hatchback,157.3,98,102,5500,30,7957
gas,hatchback,157.3,90,68,5500,38,6229
gas,sedan,157.3,90,68,5500,38,6692
gas,sedan,157.3,90,68,5500,38,7609
gas,sedan,157.3,98,102,5500,30,8558
gas,wagon,174.6,122,88,5000,30,8921
gas,hatchback,173.2,156,145,5000,24,12964
gas,hatchback,144.6,92,58,4800,54,6479
gas,hatchback,144.6,92,76,6000,38,6855
gas,hatchback,150,79,60,5500,42,5399
gas,hatchback,150,92,76,6000,34,6529
gas,hatchback,150,92,76,6000,34,7129
gas,sedan,163.4,92,76,6000,34,7295
gas,wagon,157.1,92,76,6000,34,7295
gas,hatchback,167.5,110,86,5800,33,7895
gas,hatchback,167.5,110,86,5800,33,9095
gas,sedan,175.4,110,86,5800,33,8845
gas,sedan,175.4,110,86,5800,33,10295
gas,sedan,175.4,110,101,5800,28,12945
gas,sedan,169.1,110,100,5500,31,10345
gas,sedan,170.7,111,78,4800,29,6785
gas,sedan,155.9,90,70,5400,43,8916.5
gas,sedan,155.9,90,70,5400,43,8916.5
gas,hatchback,172.6,119,90,5000,29,11048
gas,sedan,199.6,258,176,4750,19,32250
gas,sedan,199.6,258,176,4750,19,35550
gas,sedan,191.7,326,262,5000,17,36000
gas,hatchback,159.1,91,68,5000,31,5195
gas,hatchback,159.1,91,68,5000,38,6095
gas,hatchback,159.1,91,68,5000,38,6795
gas,sedan,166.8,91,68,5000,38,6695
gas,sedan,166.8,91,68,5000,38,7395
gas,hatchback,169,70,101,6000,23,10945
gas,hatchback,169,70,101,6000,23,11845
gas,hatchback,169,70,101,6000,23,13645
gas,hatchback,169,80,135,6000,23,15645
gas,hatchback,177.8,122,84,4800,32,8845
gas,sedan,177.8,122,84,4800,32,8495
gas,hatchback,177.8,122,84,4800,32,10595
gas,sedan,177.8,122,84,4800,32,10245
diesel,sedan,177.8,122,64,4650,42,10795
gas,hatchback,177.8,122,84,4800,32,11245
gas,sedan,175,140,120,5000,27,18280
diesel,sedan,175,134,72,4200,39,18344
diesel,sedan,190.9,183,123,4350,25,25552
diesel,wagon,190.9,183,123,4350,25,28248
diesel,hardtop,187.5,183,123,4350,25,28176
diesel,sedan,202.6,183,123,4350,25,31600
gas,sedan,202.6,234,155,4750,18,34184
gas,convertible,180.3,234,155,4750,18,35056
gas,sedan,208.1,308,184,4500,16,40960
gas,hardtop,199.2,304,184,4500,16,45400
gas,hatchback,178.4,140,175,5000,24,16503
gas,hatchback,157.3,92,68,5500,41,5389
gas,hatchback,157.3,92,68,5500,38,6189
gas,hatchback,157.3,92,68,5500,38,6669
gas,hatchback,157.3,98,102,5500,30,7689
gas,hatchback,173,110,116,5500,30,9959
gas,hatchback,173,122,88,5000,32,8499
gas,hatchback,173.2,156,145,5000,24,12629
gas,hatchback,173.2,156,145,5000,24,14869
gas,hatchback,173.2,156,145,5000,24,14489
gas,sedan,172.4,122,88,5000,32,6989
