Weight,Species,Body Height,Total Length,Diagonal Length,Height,Width
300,Pike,34.8,37.3,39.8,6.2884,4.0198
242,Bream,23.2,25.4,30,11.52,4.02
500,Bream,29.1,31.5,36.4,13.7592,4.368
600,Bream,29.4,32,37.2,15.438,5.58
345,Pike,36,38.5,41,6.396,3.977
1000,Perch,40.2,43.5,46,12.604,8.142
475,Bream,28.4,31,36.2,14.2628,5.1042
110,Roach,19.1,20.8,23.1,6.1677,3.3957
78,Roach,17.5,18.8,21.2,5.5756,2.9044
161,Roach,22,23.4,26.7,6.9153,3.6312
32,Perch,12.5,13.7,14.7,3.528,1.9992
115,Perch,19,21,22.5,5.9175,3.3075
140,Roach,21,22.5,25,6.55,3.325
820,Perch,36.6,39,41.3,12.4313,7.3514
218,Perch,25,26.5,28,7.168,4.144
1100,Perch,39,42,44.6,12.8002,6.8684
390,Roach,29.5,31.7,35,9.485,5.355
40,Roach,12.9,14.1,16.2,4.1472,2.268
120,Roach,19.4,21,23.7,6.1146,3.2943
925,Bream,36.2,39.5,45.3,18.7542,6.7497
130,Perch,20.5,22.5,24,5.856,3.624
1550,Pike,56,60,64,9.6,6.144
720,Bream,32,35,40.6,16.3618,6.09
12.2,Smelt,11.5,12.2,13.4,2.0904,1.3936
169,Roach,22,24,27.2,7.5344,3.8352
556,Perch,32,34.5,36.5,10.2565,6.3875
7.5,Smelt,10,10.5,11.6,1.972,1.16
300,Perch,25.2,27.3,28.7,8.323,5.1373
700,Perch,34.5,37,39.4,10.835,6.2646
1700,Roach,18,20,22,8,4.1272
300,Parkki,24,26,29,11.368,4.234
456,Pike,40,42.5,45.5,7.28,4.3225
12.2,Smelt,12.1,13,13.8,2.277,1.2558
9.8,Smelt,10.7,11.2,12.4,2.0832,1.2772
120,Roach,18.6,20,22.2,6.216,3.5742
69,Roach,16.5,18.2,20.3,5.2983,2.8217
5.9,Perch,7.5,8.4,8.8,2.112,1.408
145,Perch,20.7,22.7,24.2,5.9532,3.63
610,Bream,30.9,33.5,38.6,15.633,5.1338
265,Perch,25.4,27.5,28.9,7.0516,4.335
188,Perch,22.6,24.6,26.2,6.7334,4.1658
567,Pike,43.2,46,48.7,7.792,4.87
70,Perch,15.7,17.4,18.5,4.588,2.9415
130,Perch,20,22,23.5,6.11,3.525
950,Bream,38,41,46.5,17.6235,6.3705
575,Bream,31.3,34,39.5,15.1285,5.5695
290,Bream,24,26.3,31.2,12.48,4.3056
90,Parkki,16.3,17.7,19.8,7.4052,2.673
170,Parkki,19,20.7,23.2,9.396,3.4104
680,Bream,31.8,35,40.6,15.4686,6.1306
430,Bream,26.5,29,34,12.444,5.134
1000,Whitefish,37.3,40,43.5,12.354,6.525
850,Perch,36.9,40,42.3,11.9286,7.1064
320,Perch,27.8,30,31.6,7.6156,4.7716
120,Parkki,17.5,19,21.3,8.3922,2.9181
975,Bream,37.4,41,45.9,18.6354,6.7473
130,Perch,19.3,21.3,22.8,6.384,3.534
500,Bream,26.8,29.7,34.5,14.1795,5.2785
135,Perch,20,22,23.5,5.875,3.525
100,Perch,16.2,18,19.2,5.2224,3.3216
270,Whitefish,24.1,26.5,29.3,8.1454,4.2485
8.7,Smelt,10.8,11.3,12.6,1.9782,1.2852
60,Parkki,14.3,15.5,17.4,6.5772,2.3142
125,Perch,19,21,22.5,5.6925,3.6675
685,Bream,31.4,34,39.2,15.9936,5.3704
770,Pike,44.8,48,51.2,7.68,5.376
1000,Bream,33.5,37,42.6,18.957,6.603
920,Bream,35,38.5,44.1,18.0369,6.3063
1250,Pike,52,56,59.7,10.6863,6.9849
9.7,Smelt,10.4,11,12,2.196,1.38
290,Roach,24,26,29.2,8.8768,4.4968
250,Perch,25.4,27.5,28.9,7.2828,4.5662
500,Pike,42,45,48,6.96,4.896
306,Whitefish,25.6,28,30.8,8.778,4.6816
150,Perch,21,23,24.5,5.2185,3.626
180,Perch,23,25,26.5,6.4395,3.6835
500,Bream,28.7,31,36.2,14.3714,4.8146
85,Perch,17.8,19.6,20.8,5.1376,3.0368
690,Perch,34.6,37,39.3,10.5717,6.3666
950,Pike,48.3,51.7,55.1,8.9262,6.1712
300,Pike,32.7,35,38.8,5.9364,4.3844
150,Perch,20.5,22.5,24,6.792,3.624
110,Perch,19,21,22.5,5.6925,3.555
260,Perch,25.4,27.5,28.9,7.1672,4.335
850,Bream,32.8,36,41.6,16.8896,6.1984
700,Bream,30.4,33,38.5,14.938,5.1975
51.5,Perch,15,16.2,17.2,4.5924,2.6316
250,Perch,25.9,28,29.4,7.8204,4.2042
900,Perch,37,40,42.5,11.73,7.225
160,Roach,21.1,22.5,25,6.4,3.8
10,Smelt,11.3,11.8,13.1,2.2139,1.2838
514,Perch,30.5,32.8,34,10.03,6.018
620,Bream,31.5,34.5,39.7,15.5227,5.2801
150,Roach,20.4,22,24.7,5.8045,3.7544
110,Perch,20,22,23.5,5.5225,3.995
80,Perch,17.2,19,20.2,5.6358,3.0502
900,Perch,36.5,39,41.4,11.1366,7.4934
145,Roach,20.5,22,24.3,6.6339,3.5478
300,Pike,31.7,34,37.8,5.7078,4.158
390,Bream,27.6,30,35,12.67,4.69
700,Bream,31.9,35,40.5,16.2405,5.589
225,Perch,22,24,25.5,7.293,3.723
1015,Perch,37,40,42.4,12.3808,7.4624
685,Perch,34,36.5,39,10.881,6.864
19.7,Smelt,13.2,14.3,15.2,2.8728,2.0672
140,Parkki,19,20.7,23.2,8.5376,3.2944
120,Perch,20,22,23.5,6.11,3.4075
145,Parkki,19.8,21.5,24.1,9.7364,3.1571
725,Bream,31.8,35,40.9,16.36,6.0532
87,Roach,18.2,19.8,22.2,5.6166,3.1746
19.9,Smelt,13.8,15,16.2,2.9322,1.8792
955,Bream,35,38.5,44,18.084,6.292
820,Perch,37.1,40,42.5,11.135,6.63
200,Parkki,21.2,23,25.8,10.3458,3.6636
500,Bream,28.5,30.7,36.2,14.2266,4.9594
700,Bream,30.4,33,38.3,14.8604,5.2854
120,Perch,20,22,23.5,5.64,3.525
450,Bream,26.8,29.7,34.7,13.6024,4.9274
650,Bream,31,33.5,38.7,14.4738,5.7276
800,Whitefish,33.7,36.4,39.6,11.7612,6.5736
170,Perch,21.5,23.5,25,6.275,3.725
6.7,Smelt,9.3,9.8,10.8,1.7388,1.0476
270,Whitefish,23.6,26,28.7,8.3804,4.2476
1600,Pike,56,60,64,9.6,6.144
540,Whitefish,28.5,31,34,10.744,6.562
100,Roach,19,20.5,22.8,6.4752,3.3516
714,Bream,32.7,36,41.5,16.517,5.8515
7,Smelt,10.1,10.6,11.6,1.7284,1.1484
13.4,Smelt,11.7,12.4,13.5,2.43,1.269
1100,Perch,40.1,43,45.5,12.5125,7.4165
340,Bream,29.5,32,37.3,13.9129,5.0728
1000,Perch,41.1,44,46.6,12.4888,7.5958
510,Pike,40,42.5,45.5,6.825,4.459
9.9,Smelt,11.3,11.8,13.1,2.2139,1.1659
1000,Perch,39.8,43,45.2,11.9328,7.2772
600,Bream,29.4,32,37.2,14.9544,5.1708
197,Perch,23.5,25.6,27,6.561,4.239
430,Pike,35.5,38,40.5,7.29,4.5765
700,Perch,34,36,38.3,10.6091,6.7408
180,Roach,23.6,25.2,27.9,7.0866,3.906
840,Perch,32.5,35,37.3,11.4884,7.7957
1650,Pike,59,63.4,68,10.812,7.48
55,Parkki,13.5,14.7,16.5,6.8475,2.3265
272,Roach,25,27,30.6,8.568,4.7736
340,Bream,23.9,26.5,31.1,12.3778,4.6961
363,Bream,26.3,29,33.5,12.73,4.4555
300,Perch,26.9,28.7,30.1,7.5852,4.6354
85,Perch,18.2,20,21,5.082,2.772
160,Roach,20.5,22.5,25.3,7.0334,3.8203
650,Perch,36.5,39,41.4,11.1366,6.003
450,Bream,27.6,30,35.1,14.0049,4.8438
273,Parkki,23,25,28,11.088,4.144
78,Perch,16.8,18.7,19.4,5.1992,3.1234
145,Perch,22,24,25.5,6.375,3.825
40,Perch,13.8,15,16,3.824,2.432
200,Pike,30,32.3,34.8,5.568,3.3756
540,Pike,40.1,43,45.8,7.786,5.1296
150,Parkki,18.4,20,22.4,8.8928,3.2928
9.8,Smelt,11.4,12,13.2,2.2044,1.1484
