County,ED visits,Asthma_children,A5.9,A10.14,A15.17,No.Hospitals,PercentLessHS,PercentHS,MedianIncome,SpecDist,PedDist
Jenkins,30,72,1,0,0,1,0.240666823,0.394458793,30073.5,21.5,25
Jenkins,12,34,0,1,0,1,0.240666823,0.394458793,30073.5,21.5,25
Lanier,14,40,0,1,0,1,0.217075197,0.373286248,41080,22,25
Calhoun,16,55,1,0,0,1,0.282470961,0.394403379,45307,35.5,
Rabun,17,59,0,1,0,1,0.173302108,0.328103044,46637.6,30,25
DeKalb,752,2652,0,1,0,6,0.104315698,0.221335938,67756.55944,5.645833333,2.932704365
Calhoun,7,26,0,1,0,1,0.282470961,0.394403379,45307,35.5,
Macon,16,60,0,1,0,1,0.169129348,0.511252557,31044.25,33.5,11.46774457
Ben Hill,17,66,0,1,0,1,0.260966377,0.38009352,32267.4,25.6,11.76718087
Washington,19,74,0,1,0,1,0.209044065,0.458422175,36046,25.8,15.99927382
Ware,78,312,1,0,0,1,0.176848008,0.405025071,44973.77778,3.444444444,9.429471813
Berrien,19,76,0,1,0,1,0.259908695,0.334405478,44918.16667,20.5,25
Ware,36,146,0,1,0,1,0.176848008,0.405025071,44973.77778,3.444444444,9.429471813
Randolph,10,41,1,0,0,1,0.236728061,0.36375948,23154,34,
Grady,26,107,0,1,0,1,0.241107963,0.408168083,35778,19.33333333,19.82122336
Richmond,183,771,0,1,0,4,0.145983037,0.311226293,39802.21739,4.595744681,4.194022801
Greene,31,132,1,0,0,1,0.236665065,0.414344065,36431.5,8.428571429,18.7277609
Fulton,802,3440,0,1,0,11,0.089359576,0.187111106,73405.90625,3.772277228,2.985714894
Greene,13,56,0,1,0,1,0.236665065,0.414344065,36431.5,8.428571429,18.7277609
Lanier,22,96,1,0,0,1,0.217075197,0.373286248,41080,22,25
Burke,29,128,0,1,0,0,0.209240069,0.452417962,43102.66667,29.16666667,19.41726176
Worth,22,99,0,1,0,1,0.215947736,0.394755683,46701,20.4,7.896633677
Jasper,12,57,0,1,0,1,0.178001908,0.440915906,45329,25.33333333,25
Laurens,41,196,0,1,0,1,0.163755016,0.434031859,44083.61538,7,8.035224243
Brooks,14,69,0,1,0,1,0.171975309,0.379382716,44153.2,22.2,14.53205128
Worth,37,184,1,0,0,1,0.215947736,0.394755683,46701,20.4,7.896633677
Screven,22,110,1,0,0,1,0.192359611,0.469492441,46860.6,7.2,21.57265551
Chatham,181,906,0,1,0,3,0.103400083,0.294886727,52375.35294,3.724637681,3.140363083
Pierce,14,71,0,1,0,0,0.175270739,0.42718957,56463,12,25
Richmond,355,1819,1,0,0,4,0.145983037,0.311226293,39802.21739,4.595744681,4.194022801
Heard,11,57,0,1,0,0,0.24976107,0.406498885,42930.66667,26.66666667,25
Warren,4,21,0,1,0,0,0.255905512,0.520669291,40514,33.5,
