DAY_OF_WEEK,AIRLINE,ORIGIN_AIRPORT,DESTINATION_AIRPORT,SCHEDULED_DEPARTURE,DEPARTURE_DELAY,DISTANCE,SCHEDULED_ARRIVAL
5,EV,ATL,HNL,1050,5,4502,1604
5,DL,ATL,HNL,1050,8,4502,1605
4,DL,ATL,SEA,1050,0,2182,1329
5,DL,ATL,SEA,810,0,2182,1049
5,DL,ATL,SEA,810,0,2182,1049
7,DL,ATL,SEA,1920,0,2182,2157
2,DL,ATL,SEA,1630,1,2182,1904
7,DL,ATL,SEA,1920,1,2182,2157
7,EV,ATL,SEA,1920,1,2182,2157
2,US,ATL,SEA,940,2,2182,1218
4,WN,ATL,SEA,1810,2,2182,2050
4,DL,ATL,SEA,1810,3,2182,2050
5,EV,ATL,SEA,1105,3,2182,1345
4,DL,ATL,SEA,1810,4,2182,2050
5,DL,ATL,SEA,1050,4,2182,1329
5,NK,ATL,SEA,1050,4,2182,1329
1,DL,ATL,SEA,1257,5,2182,1527
5,EV,ATL,SEA,1050,5,2182,1329
6,DL,ATL,SEA,810,5,2182,1049
7,DL,ATL,SEA,1920,5,2182,2157
1,DL,ATL,SEA,1300,6,2182,1530
5,DL,ATL,SEA,1810,6,2182,2050
7,EV,ATL,SEA,1920,6,2182,2157
1,DL,ATL,SEA,1300,7,2182,1530
2,WN,ATL,SEA,940,7,2182,1217
5,WN,ATL,SEA,1810,7,2182,2050
7,EV,ATL,SEA,1920,7,2182,2157
7,EV,ATL,SEA,1920,7,2182,2157
2,EV,ATL,SEA,1630,8,2182,1905
2,WN,ATL,SEA,1630,8,2182,1905
3,AA,ATL,SEA,955,9,2182,1230
5,DL,ATL,SEA,2140,18,2182,16
5,DL,ATL,SEA,1050,21,2182,1329
5,EV,ATL,SEA,1050,23,2182,1329
1,WN,ATL,SEA,1920,27,2182,2157
5,DL,ATL,SEA,1810,46,2182,2044
6,DL,ATL,PDX,1915,-1,2172,2152
2,DL,ATL,PDX,951,0,2172,1225
2,DL,ATL,PDX,951,0,2172,1224
7,DL,ATL,PDX,1915,0,2172,2152
7,DL,ATL,PDX,1915,2,2172,2152
2,WN,ATL,PDX,951,4,2172,1225
7,DL,ATL,PDX,1915,4,2172,2152
1,DL,ATL,PDX,1610,5,2172,1837
1,WN,ATL,PDX,1610,8,2172,1837
7,WN,ATL,PDX,1915,8,2172,2152
2,DL,ATL,PDX,2030,10,2172,2303
7,EV,ATL,PDX,1909,10,2172,2144
4,DL,ATL,PDX,951,50,2172,1225
4,DL,ATL,SFO,1050,-2,2139,1320
5,DL,ATL,SFO,810,-2,2139,1038
5,DL,ATL,SFO,815,-2,2139,1043
5,DL,ATL,SFO,810,-2,2139,1038
1,DL,ATL,SFO,1617,-1,2139,1843
4,DL,ATL,SFO,1050,-1,2139,1320
4,DL,ATL,SFO,1755,-1,2139,2022
1,DL,ATL,SFO,1624,0,2139,1850
1,DL,ATL,SFO,1955,0,2139,2224
1,DL,ATL,SFO,1955,0,2139,2224
1,DL,ATL,SFO,1955,0,2139,2224
1,EV,ATL,SFO,1955,0,2139,2222
1,WN,ATL,SFO,1624,0,2139,1852
4,DL,ATL,SFO,1754,0,2139,2021
4,DL,ATL,SFO,1050,0,2139,1320
4,DL,ATL,SFO,1755,0,2139,2022
5,DL,ATL,SFO,810,0,2139,1038
5,DL,ATL,SFO,810,0,2139,1038
5,EV,ATL,SFO,810,0,2139,1038
5,WN,ATL,SFO,810,0,2139,1038
6,DL,ATL,SFO,815,0,2139,1043
7,DL,ATL,SFO,1920,0,2139,2136
2,F9,ATL,SFO,1626,1,2139,1851
4,EV,ATL,SFO,2144,1,2139,9
7,DL,ATL,SFO,1920,1,2139,2150
4,DL,ATL,SFO,1754,2,2139,2010
4,DL,ATL,SFO,1745,2,2139,2011
1,DL,ATL,SFO,1955,3,2139,2224
1,DL,ATL,SFO,1955,4,2139,2224
1,DL,ATL,SFO,1955,4,2139,2224
7,DL,ATL,SFO,1920,4,2139,2150
1,DL,ATL,SFO,1955,5,2139,2224
1,DL,ATL,SFO,1955,5,2139,2224
2,WN,ATL,SFO,1624,5,2139,1852
5,NK,ATL,SFO,725,5,2139,1000
7,DL,ATL,SFO,1920,5,2139,2150
6,DL,ATL,SFO,810,7,2139,1038
7,DL,ATL,SFO,850,7,2139,1125
5,DL,ATL,SFO,1850,9,2139,2125
7,DL,ATL,SFO,1910,9,2139,2126
7,OO,ATL,SFO,1920,12,2139,2136
6,DL,ATL,SFO,1850,15,2139,2125
1,WN,ATL,SFO,1955,17,2139,2224
5,DL,ATL,SFO,1050,18,2139,1321
1,DL,ATL,SFO,1930,19,2139,2205
1,WN,ATL,SFO,1955,20,2139,2224
7,OO,ATL,SFO,1900,22,2139,2135
4,DL,ATL,SFO,1400,23,2139,1626
5,WN,ATL,SFO,1754,25,2139,2010
5,EV,ATL,SFO,1754,28,2139,2010
5,DL,ATL,SFO,2145,29,2139,10
1,WN,ATL,SFO,1955,32,2139,2224
5,DL,ATL,SFO,725,38,2139,1000
1,WN,ATL,SFO,850,48,2139,1120
4,OO,ATL,SFO,1400,48,2139,1626
3,DL,ATL,SFO,1624,51,2139,1852
1,EV,ATL,SFO,1910,52,2139,2126
5,UA,ATL,SFO,1754,60,2139,2010
1,US,ATL,SJC,1959,1,2116,2221
1,DL,ATL,SJC,1959,7,2116,2221
1,DL,ATL,SJC,1959,19,2116,2221
1,EV,ATL,SJC,1959,21,2116,2221
2,DL,ATL,SJC,1959,36,2116,2221
1,DL,ATL,SMF,930,-1,2092,1152
1,DL,ATL,SMF,940,-1,2092,1201
1,EV,ATL,SMF,940,0,2092,1201
1,F9,ATL,SMF,1957,0,2092,2213
1,DL,ATL,SMF,940,1,2092,1200
2,DL,ATL,SMF,940,6,2092,1201
3,DL,ATL,SMF,940,23,2092,1201
3,WN,ATL,SMF,930,45,2092,1151
3,NK,ATL,SMF,930,52,2092,1151
4,DL,ATL,LAX,1052,-2,1947,1300
4,DL,ATL,LAX,2152,-2,1947,2359
5,DL,ATL,LAX,811,-2,1947,1018
5,DL,ATL,LAX,1850,-2,1947,2100
6,DL,ATL,LAX,1518,-2,1947,1726
7,DL,ATL,LAX,1935,-2,1947,2145
1,DL,ATL,LAX,942,-1,1947,1151
1,DL,ATL,LAX,1220,-1,1947,1429
1,DL,ATL,LAX,1220,-1,1947,1428
1,DL,ATL,LAX,1220,-1,1947,1428
1,DL,ATL,LAX,1220,-1,1947,1429
1,DL,ATL,LAX,1613,-1,1947,1820
2,DL,ATL,LAX,944,-1,1947,1155
4,DL,ATL,LAX,2152,-1,1947,2359
4,DL,ATL,LAX,1759,-1,1947,2005
4,DL,ATL,LAX,1750,-1,1947,2000
5,DL,ATL,LAX,811,-1,1947,1017
5,DL,ATL,LAX,811,-1,1947,1018
6,DL,ATL,LAX,1515,-1,1947,1721
7,DL,ATL,LAX,1540,-1,1947,1750
7,DL,ATL,LAX,1935,-1,1947,2145
1,DL,ATL,LAX,1220,0,1947,1428
1,EV,ATL,LAX,1613,0,1947,1820
3,DL,ATL,LAX,1402,0,1947,1610
4,EV,ATL,LAX,2152,0,1947,2359
4,EV,ATL,LAX,2152,0,1947,2358
4,WN,ATL,LAX,1052,0,1947,1300
4,WN,ATL,LAX,2145,0,1947,2355
6,DL,ATL,LAX,834,0,1947,1040
6,EV,ATL,LAX,1127,0,1947,1335
6,WN,ATL,LAX,1132,0,1947,1340
7,DL,ATL,LAX,1927,0,1947,2137
7,DL,ATL,LAX,1935,0,1947,2145
7,MQ,ATL,LAX,1540,0,1947,1750
1,DL,ATL,LAX,1620,1,1947,1826
3,DL,ATL,LAX,1402,1,1947,1610
5,AA,ATL,LAX,1850,1,1947,2100
5,DL,ATL,LAX,2152,1,1947,2359
5,DL,ATL,LAX,1118,1,1947,1325
7,DL,ATL,LAX,850,1,1947,1105
7,DL,ATL,LAX,1935,1,1947,2145
1,DL,ATL,LAX,1613,2,1947,1820
3,WN,ATL,LAX,1402,2,1947,1610
4,DL,ATL,LAX,1759,2,1947,2005
5,DL,ATL,LAX,2152,2,1947,2359
1,EV,ATL,LAX,1620,3,1947,1825
4,DL,ATL,LAX,1759,3,1947,2005
4,DL,ATL,LAX,1758,3,1947,2004
6,DL,ATL,LAX,811,3,1947,1018
6,DL,ATL,LAX,811,3,1947,1018
6,DL,ATL,LAX,1117,4,1947,1325
7,WN,ATL,LAX,1540,4,1947,1750
1,AA,ATL,LAX,1618,5,1947,1825
2,DL,ATL,LAX,944,5,1947,1155
7,WN,ATL,LAX,1527,6,1947,1735
1,DL,ATL,LAX,1935,7,1947,2145
6,WN,ATL,LAX,1518,7,1947,1726
4,DL,ATL,LAX,2145,8,1947,2356
4,DL,ATL,LAX,1759,8,1947,2005
4,EV,ATL,LAX,2140,8,1947,2350
4,EV,ATL,LAX,1759,8,1947,2005
4,EV,ATL,LAX,1758,8,1947,2003
5,DL,ATL,LAX,2152,8,1947,2359
6,DL,ATL,LAX,1518,8,1947,1726
5,DL,ATL,LAX,2152,9,1947,2359
1,EV,ATL,LAX,1935,12,1947,2145
1,DL,ATL,LAX,1927,14,1947,2137
3,DL,ATL,LAX,2038,14,1947,2246
6,EV,ATL,LAX,1850,16,1947,2100
1,DL,ATL,LAX,1233,18,1947,1440
5,US,ATL,LAX,2152,20,1947,2359
4,DL,ATL,LAX,1402,25,1947,1610
5,DL,ATL,LAX,2152,27,1947,2359
5,WN,ATL,LAX,1759,27,1947,2005
1,MQ,ATL,LAX,1927,28,1947,2137
5,EV,ATL,LAX,1759,29,1947,2005
1,DL,ATL,LAX,1920,34,1947,2135
1,WN,ATL,LAX,1540,39,1947,1750
1,EV,ATL,LAX,1925,41,1947,2140
3,EV,ATL,LAX,1613,46,1947,1819
6,DL,ATL,LAX,2152,50,1947,2359
2,WN,ATL,LAX,1220,61,1947,1429
2,DL,ATL,SNA,956,0,1919,1159
2,DL,ATL,SNA,956,1,1919,1159
2,EV,ATL,SNA,1641,3,1919,1839
1,DL,ATL,SNA,1940,4,1919,2141
1,DL,ATL,SNA,1940,5,1919,2141
1,DL,ATL,SNA,1940,5,1919,2141
1,DL,ATL,SNA,1940,6,1919,2141
1,US,ATL,SNA,1940,7,1919,2141
1,DL,ATL,SNA,930,8,1919,1129
