gameId,playId,playDescription,quarter,down,yardsToGo,possessionTeam,specialTeamsPlayType,specialTeamsResult,kickerId,returnerId,kickBlockerId,yardlineSide,yardlineNumber,gameClock,penaltyCodes,penaltyJerseyNumbers,penaltyYards,preSnapHomeScore,preSnapVisitorScore,passResult,kickLength,kickReturnYardage,playResult,absoluteYardlineNumber,homeTeamAbbr,visitorTeamAbbr,snapDetail,snapTime,operationTime,hangTime,kickType,kickDirectionIntended,kickDirectionActual,returnDirectionIntended,returnDirectionActual,missedTackler,assistTackler,tackler,kickoffReturnFormation,gunners,puntRushers,specialTeamsSafeties,vises,kickContactType,time,x,y,s,a,dis,o,dir,event,nflId,displayName,jerseyNumber,position,team,frameId,playDirection,x_football,y_football,gunner1_jersey_num,gunner2_jersey_num,defense_team_abbr,x_gunner1,y_gunner1,x_gunner2,y_gunner2,distance_returner_gunner1,distance_returner_gunner2,y_football_rescaled
2019122210,285,"(10:52) (Punt formation) T.Morstead punts 52 yards to TEN 13, Center-Z.Wood. K.Raymond to TEN 27 for 14 yards (C.Robertson).",1,4,11,NO,Punt,Return,34615,43584,,NO,35,10:52:00,,,,0,0,,52,14.0,38,45,TEN,NO,OK,0.95,2.24,4.17,N,R,R,R,R,NO 27; NO 49,,NO 52,,NO 48; NO 34,,TEN 46,TEN 37; TEN 36; TEN 23,CC,2019-12-22T18:09:54.000Z,97.11,10.27,2.18,3.39,0.21,289.7,27.85,punt_received,43584,Kalif Raymond,14,WR,home,74,right,96.58,10.31,48,34,NO,87.58,14.49,91.8,4.36,10.422538,7.945074,38.69
2018100703,1637,"(2:09) S.Koch punts 47 yards to CLE 10, Center-M.Cox. J.Peppers to CLE 22 for 12 yards (A.Levine Sr.; D.Turner).",2,4,7,BAL,Punt,Return,31018,44837,,BAL,43,02:09:00,,,,0,3,,47,12.0,35,67,CLE,BAL,OK,0.85,2.21,4.22,A,L,C,C,C,,BAL 47,BAL 41,,BAL 47; BAL 10,,CLE 13,CLE 36; CLE 20; CLE 38,CC,2018-10-07T18:12:35.600Z,20.16,16.17,2.18,2.23,0.22,98.24,63.96,punt_received,44837,Jabrill Peppers,22,FS,home,77,left,19.77,16.76,47,10,BAL,24.05,6.58,25.72,18.52,10.348923,6.0362325,62.89
2018111807,3083,"(13:41) A.Lee punts 60 yards to OAK 11, Center-A.Brewer. D.Harris ran ob at OAK 27 for 16 yards (C.Edmonds). OAK-D.Harris was injured during the play.",4,4,6,ARI,Punt,Return,29141,37251,,ARI,29,13:41:00,,,,14,20,,60,16.0,44,39,ARI,OAK,OK,0.89,2.3,4.56,N,R,R,L,L,ARI 59,,ARI 29,,ARI 26; ARI 16,,OAK 23; OAK 25,OAK 20; OAK 22,CC,2018-11-18T23:21:26.300Z,99.07,12.63,2.82,3.61,0.28,267.41,175.53,punt_received,37251,Dwayne Harris,17,WR,away,85,right,99.12,12.48,26,16,ARI,92.15,25.62,87.43,10.6,14.718237,11.815689,46.83
2018100703,1350,"(7:38) B.Colquitt punts 43 yards to BAL 28, Center-C.Hughlett. T.White to BAL 43 for 15 yards (C.Hughlett). FUMBLES (C.Hughlett), recovered by BAL-K.Young at BAL 42. K.Young to BAL 42 for no gain (J.McKinnon).",2,4,10,CLE,Punt,Return,34723,45272,,CLE,29,07:38:00,,,,0,3,,43,14.0,29,39,CLE,BAL,OK,0.88,2.15,3.39,N,C,C,C,C,,,CLE 47,,CLE 36; CLE 20,,,BAL 36; BAL 29; BAL 41,CC,2018-10-07T18:01:20.600Z,82.36,22.1,3.26,2.06,0.33,283.94,306.74,punt_received,45272,Tim White,14,WR,away,68,right,82.05,22.36,36,20,CLE,66.14,22.15,46.06,18.73,16.220078,36.456097,83.9
2018111807,1158,"(12:59) J.Townsend punts 39 yards to ARI 25, Center-T.Sieg. C.Kirk to ARI 37 for 12 yards (N.Morrow; K.Wilber).",2,4,11,OAK,Punt,Return,46242,46116,,OAK,36,12:59:00,,,,14,7,,39,12.0,27,74,ARI,OAK,OK,0.89,2.16,3.19,N,R,R,L,L,,OAK 58,OAK 50,,OAK 33; OAK 23,,ARI 33,ARI 26; ARI 23; ARI 27,CC,2018-11-18T21:51:24.000Z,35.95,44.74,2.19,4.93,0.23,76.23,48.59,punt_received,46116,Christian Kirk,13,WR,home,67,left,34.74,44.18,33,23,OAK,50.46,21.25,48.0,51.08,27.610147,13.616097,34.22
2019122210,2248,"(:28) (Punt formation) B.Kern punts 43 yards to NO 30, Center-B.Brinkley. D.Harris to NO 38 for 8 yards (K.Byard, B.Brinkley).",2,4,7,TEN,Punt,Return,33338,48415,,TEN,27,00:28:00,,,,14,10,,43,8.0,35,37,TEN,NO,OK,0.87,2.23,3.83,N,L,L,R,R,,TEN 48,TEN 31,,TEN 23; TEN 29,NO 27,,NO 48; NO 34; NO 20; NO 21,CC,2019-12-22T19:31:42.100Z,80.25,47.02,2.8,3.13,0.29,271.22,289.95,punt_received,48415,Deonte Harris,11,WR,away,72,right,80.23,47.28,23,29,TEN,72.87,50.25,44.6,22.6,8.055886,43.211792,22.59
2020101200,1767,"(2:42) T.Morstead punts 50 yards to LAC 9, Center-Z.Wood. K.Hill Jr. to LAC 18 for 9 yards (B.Fowler).",2,4,6,NO,Punt,Return,34615,52628,,NO,41,02:42:00,,,,3,20,,50,9.0,41,51,NO,LAC,OK,0.83,2.16,4.45,N,L,C,R,R,,,NO 16,,NO 48; NO 16,,,LAC 37; LAC 28; LAC 35,CC,2020-10-13T01:26:44.700Z,101.32,31.21,0.45,2.82,0.06,282.02,158.45,punt_received,52628,K.J. Hill,84,WR,away,79,right,100.32,31.44,48,16,NO,97.3,34.67,85.64,34.33,5.303961,15.987395,82.03
2018090901,1491,"(7:39) B.Colquitt punts 39 yards to PIT 8, Center-C.Hughlett. R.Switzer to PIT 12 for 4 yards (D.Rice).",2,4,20,CLE,Punt,Return,34723,44946,,PIT,47,07:39:00,,,,0,7,,39,4.0,35,63,CLE,PIT,OK,0.77,2.06,3.92,A,L,L,C,C,,,CLE 37,,CLE 37; CLE 38,PIT 45,,PIT 25; PIT 23; PIT 88,CC,2018-09-09T18:02:08.400Z,100.95,42.77,1.51,2.63,0.15,272.0,42.8,punt_received,44946,Ryan Switzer,10,WR,away,72,right,100.54,42.93,37,38,CLE,95.65,44.17,91.54,32.34,5.481788,14.047526,38.91
2019122210,2620,"(11:19) (Punt formation) B.Kern punts 55 yards to NO 18, Center-B.Brinkley. D.Harris to NO 30 for 12 yards (D.Long; B.Brinkley).",3,4,22,TEN,Punt,Return,33338,48415,,TEN,27,11:19:00,,,,14,17,,55,12.0,43,37,TEN,NO,OK,0.86,2.18,4.28,N,R,R,C,C,TEN 29; TEN 51,,TEN 48,,TEN 23; TEN 29,,,NO 48; NO 34; NO 20; NO 21,CC,2019-12-22T19:59:28.000Z,90.88,6.52,2.39,2.95,0.24,315.48,76.94,punt_received,48415,Deonte Harris,11,WR,away,75,right,90.27,6.92,23,29,TEN,70.87,17.86,80.37,3.16,22.999907,11.034024,25.97
2018100703,3129,"(13:50) (Punt formation) B.Colquitt punts 64 yards to BAL 2, Center-C.Hughlett. T.White to BAL 12 for 10 yards (C.Hughlett).",4,4,1,CLE,Punt,Return,34723,45272,,CLE,34,13:50:00,,,,9,6,,64,10.0,54,44,CLE,BAL,OK,0.8,2.04,4.73,N,R,R,L,L,,,CLE 47,,CLE 36; CLE 13,BAL 54; BAL 99,BAL 36,BAL 29; BAL 41,KTB,2018-10-07T19:23:26.100Z,107.83,2.28,2.28,7.86,0.2,295.13,229.12,punt_received,45272,Tim White,14,WR,away,113,right,107.54,2.49,36,13,CLE,100.17,12.31,109.37,3.2,12.62048,1.7938784,9.34
