"Algorithm Name","Number of Clusters (K)","Number of Iterations Ran","Total Iterations","Image Name"
"kmedoids","3","1","1","compressed_kmedoids_3_iter1_football.png"
"kmedoids","3","9","100","compressed_kmedoids_3_iter100_football.png"
"kmeans","3","1","1","compressed_kmeans_3_iter1_football.png"
"kmeans","3","19","100","compressed_kmeans_3_iter100_football.png"
"kmedoids","3","1","1","compressed_kmedoids_3_iter1_beach.png"
"kmedoids","3","10","100","compressed_kmedoids_3_iter100_beach.png"
"kmeans","3","1","1","compressed_kmeans_3_iter1_beach.png"
"kmeans","3","10","100","compressed_kmeans_3_iter100_beach.png"
"kmedoids","16","1","1","compressed_kmedoids_16_iter1_football.png"
"kmedoids","16","27","100","compressed_kmedoids_16_iter100_football.png"
"kmeans","16","1","1","compressed_kmeans_16_iter1_football.png"
"kmeans","16","100","100","compressed_kmeans_16_iter100_football.png"
"kmedoids","16","1","1","compressed_kmedoids_16_iter1_beach.png"
"kmedoids","16","100","100","compressed_kmedoids_16_iter100_beach.png"
"kmeans","16","1","1","compressed_kmeans_16_iter1_beach.png"
"kmeans","16","46","100","compressed_kmeans_16_iter100_beach.png"
"kmedoids","32","1","1","compressed_kmedoids_32_iter1_football.png"
"kmedoids","32","100","100","compressed_kmedoids_32_iter100_football.png"
"kmeans","32","1","1","compressed_kmeans_32_iter1_football.png"
"kmeans","32","100","100","compressed_kmeans_32_iter100_football.png"
"kmedoids","32","1","1","compressed_kmedoids_32_iter1_beach.png"
"kmedoids","32","100","100","compressed_kmedoids_32_iter100_beach.png"
"kmeans","32","1","1","compressed_kmeans_32_iter1_beach.png"
"kmeans","32","100","100","compressed_kmeans_32_iter100_beach.png"
"kmedoids","3","1","1","compressed_kmedoids_3_iter1_hockey.png"
