,Run_Number,Model_Name,Model_Accuracy,Num_Features,Dataset,Param_Name,Param_Value
0,0,svm,0.9705882352941176,All,divorce,C,1
1,1,svm,0.8823529411764706,All,divorce,C,1
2,2,svm,0.9705882352941176,All,divorce,C,1
3,3,svm,0.9705882352941176,All,divorce,C,1
4,4,svm,0.9705882352941176,All,divorce,C,1
5,5,svm,1.0,All,divorce,C,1
6,6,svm,1.0,All,divorce,C,1
7,7,svm,0.9705882352941176,All,divorce,C,1
8,8,svm,0.9411764705882353,All,divorce,C,1
9,9,svm,1.0,All,divorce,C,1
10,10,svm,0.9411764705882353,All,divorce,C,1
11,11,svm,1.0,All,divorce,C,1
12,12,svm,1.0,All,divorce,C,1
13,13,svm,1.0,All,divorce,C,1
14,14,svm,0.9705882352941176,All,divorce,C,1
15,15,svm,0.9411764705882353,All,divorce,C,1
16,16,svm,1.0,All,divorce,C,1
17,17,svm,1.0,All,divorce,C,1
18,18,svm,1.0,All,divorce,C,1
19,19,svm,0.9411764705882353,All,divorce,C,1
20,0,svm,0.9705882352941176,All,divorce,C,5
21,1,svm,0.9705882352941176,All,divorce,C,5
22,2,svm,0.9411764705882353,All,divorce,C,5
23,3,svm,0.9705882352941176,All,divorce,C,5
24,4,svm,0.9411764705882353,All,divorce,C,5
25,5,svm,0.9411764705882353,All,divorce,C,5
26,6,svm,0.9411764705882353,All,divorce,C,5
27,7,svm,0.9411764705882353,All,divorce,C,5
28,8,svm,1.0,All,divorce,C,5
29,9,svm,1.0,All,divorce,C,5
30,10,svm,0.9705882352941176,All,divorce,C,5
31,11,svm,0.9705882352941176,All,divorce,C,5
32,12,svm,0.9705882352941176,All,divorce,C,5
33,13,svm,1.0,All,divorce,C,5
34,14,svm,1.0,All,divorce,C,5
35,15,svm,1.0,All,divorce,C,5
36,16,svm,0.9411764705882353,All,divorce,C,5
37,17,svm,1.0,All,divorce,C,5
38,18,svm,0.9705882352941176,All,divorce,C,5
39,19,svm,0.9705882352941176,All,divorce,C,5
40,0,svm,0.9411764705882353,All,divorce,C,10
41,1,svm,1.0,All,divorce,C,10
42,2,svm,0.9117647058823529,All,divorce,C,10
43,3,svm,0.9705882352941176,All,divorce,C,10
44,4,svm,0.9705882352941176,All,divorce,C,10
45,5,svm,1.0,All,divorce,C,10
46,6,svm,0.9117647058823529,All,divorce,C,10
47,7,svm,0.9705882352941176,All,divorce,C,10
48,8,svm,0.9705882352941176,All,divorce,C,10
49,9,svm,0.9705882352941176,All,divorce,C,10
50,10,svm,1.0,All,divorce,C,10
51,11,svm,0.9705882352941176,All,divorce,C,10
52,12,svm,1.0,All,divorce,C,10
53,13,svm,0.9705882352941176,All,divorce,C,10
54,14,svm,0.9705882352941176,All,divorce,C,10
55,15,svm,0.9705882352941176,All,divorce,C,10
56,16,svm,1.0,All,divorce,C,10
57,17,svm,0.9411764705882353,All,divorce,C,10
58,18,svm,0.9411764705882353,All,divorce,C,10
59,19,svm,1.0,All,divorce,C,10
60,0,svm,0.9705882352941176,All,divorce,C,100
61,1,svm,0.9705882352941176,All,divorce,C,100
62,2,svm,0.9705882352941176,All,divorce,C,100
63,3,svm,0.9117647058823529,All,divorce,C,100
64,4,svm,0.9411764705882353,All,divorce,C,100
65,5,svm,1.0,All,divorce,C,100
66,6,svm,1.0,All,divorce,C,100
67,7,svm,0.9705882352941176,All,divorce,C,100
68,8,svm,0.9705882352941176,All,divorce,C,100
69,9,svm,1.0,All,divorce,C,100
70,10,svm,0.9705882352941176,All,divorce,C,100
71,11,svm,1.0,All,divorce,C,100
72,12,svm,0.9705882352941176,All,divorce,C,100
73,13,svm,1.0,All,divorce,C,100
74,14,svm,1.0,All,divorce,C,100
75,15,svm,1.0,All,divorce,C,100
