Area,Perimeter,MajorAxisLength,MinorAxisLength,AspectRation,Eccentricity,ConvexArea,EquivDiameter,Extent,Solidity,roundness,Compactness,ShapeFactor1,ShapeFactor2,ShapeFactor3,ShapeFactor4,Class
54614,925.529,339.9522929,205.3706038,1.655311357,0.796896426,55585,263.6981314,0.769753347,0.982531258,0.801186804,0.775691581,0.006224636,0.001390113,0.601697428,0.995996586,1
47496,793.007,276.264608,219.2654235,1.259955189,0.608336759,47965,245.914183,0.748675914,0.990222037,0.949101933,0.890140017,0.005816587,0.002252585,0.792349251,0.99832455,3
37265,700.187,232.9372916,204.1582816,1.140964206,0.481489818,37602,217.8239464,0.778950669,0.991037711,0.955174904,0.935118396,0.006250833,0.002948384,0.874446414,0.997712058,3
164455,1536.579,561.5290508,374.2858071,1.500268085,0.745462526,166145,457.5921867,0.700840386,0.989828162,0.87528031,0.814903852,0.003414485,0.000928818,0.664068288,0.996280459,2
36253,698.598,230.5248972,200.5306111,1.149574601,0.49325106,36730,214.8458825,0.788142963,0.987013341,0.933467365,0.931985591,0.006358781,0.00295931,0.868597141,0.998517212,3
177713,1616.237,601.2761198,379.3922209,1.584840402,0.77580043,180176,475.6797444,0.767758241,0.986330033,0.854907196,0.791116974,0.003383411,0.000817518,0.625866066,0.991897828,2
146154,1460.105,540.3383352,346.7667545,1.558218394,0.766906738,148196,431.3804034,0.735713998,0.986220951,0.861494271,0.798352394,0.003697048,0.000926432,0.637366545,0.993156274,2
45195,765.944,270.5319702,213.1831864,1.269011758,0.615656343,45511,239.8834326,0.785098843,0.993056624,0.968068787,0.886710108,0.005985883,0.002282625,0.786254816,0.997766606,3
79544,1088.996,393.1791912,258.7680507,1.519427109,0.75289313,80500,318.2429361,0.828583333,0.988124224,0.842878006,0.809409407,0.004942915,0.001308687,0.655143588,0.995442928,1
77455,1150.021,416.5159754,239.3780854,1.739992091,0.818353453,79244,314.0362542,0.769211671,0.977424158,0.735949103,0.753959686,0.005377522,0.0010719,0.568455209,0.989107567,1
78657,1149.889,399.2833715,251.5902539,1.587038311,0.776510337,80316,316.4635885,0.785094023,0.979344091,0.747541665,0.792578933,0.00507626,0.001235645,0.628181365,0.996947892,1
36986,693.771,232.7137695,202.5916367,1.148683989,0.492059713,37350,217.0069994,0.771747522,0.990254351,0.965639328,0.932506056,0.006291942,0.00293475,0.869567545,0.998858317,3
169559,1575.747,591.4136202,368.1300911,1.606534305,0.782653269,172319,464.6388102,0.736655747,0.983983194,0.858139183,0.785641038,0.003487952,0.000819685,0.61723184,0.991604125,2
67997,1047.09,347.9688677,250.1699541,1.390929894,0.695068522,69185,294.2387964,0.795984782,0.982828648,0.7793483,0.84558943,0.005117415,0.00161387,0.715021484,0.994544757,1
36730,692.349,235.9680653,198.4962669,1.188778353,0.540724566,37038,216.2546843,0.766677799,0.991684216,0.962898819,0.91645742,0.006424396,0.002795511,0.839894202,0.998448047,3
39192,709.658,242.1603202,206.3862512,1.173335524,0.523100287,39464,223.3848792,0.782978723,0.993107642,0.977932962,0.922466897,0.00617882,0.002759869,0.850945176,0.998444204,3
37164,710.014,251.9249487,188.1740507,1.338786872,0.664885964,37548,217.5285601,0.744859101,0.98977309,0.926399882,0.863465731,0.006778736,0.00232439,0.745573069,0.998163437,3
71368,1067.432,386.6664679,235.8136101,1.639712261,0.792506783,72557,301.4441239,0.711545364,0.983612884,0.787105513,0.779597273,0.005417925,0.001234508,0.607771908,0.996571049,1
39397,718.796,259.9423111,193.083996,1.346265441,0.669518295,39682,223.9683423,0.790184123,0.992817902,0.958212238,0.861607875,0.006598023,0.002243015,0.74236813,0.999424558,3
58947,930.106,324.8758611,231.8918465,1.400980095,0.700363851,59792,273.9592149,0.776047289,0.985867675,0.856262017,0.843273532,0.005511321,0.001719133,0.71111025,0.996251306,1
46028,779.483,262.7993586,223.4295487,1.176206819,0.526474991,46414,242.0840139,0.771453473,0.991683544,0.951959939,0.921174295,0.005709554,0.002536,0.848562082,0.998084506,3
145886,1438.541,539.4266472,345.674977,1.560502446,0.767691797,147342,430.9847146,0.757656493,0.990118228,0.885888353,0.798968158,0.00369759,0.000929429,0.638350117,0.99614692,2
80378,1110.875,412.633194,248.6089765,1.659767881,0.798123498,81448,319.9069367,0.711832585,0.986862784,0.818496211,0.775281633,0.005133658,0.001144049,0.601061611,0.997622757,1
44945,772.411,272.5886252,211.348057,1.289761681,0.631547685,45285,239.2190447,0.786852241,0.992491995,0.946660702,0.877582638,0.006064938,0.002219005,0.770151286,0.993311617,3
50129,825.083,303.2506787,210.7995845,1.438573417,0.718881056,50553,252.6385266,0.786682778,0.991612763,0.925344882,0.833101274,0.006049406,0.001797561,0.694057732,0.998453004,3
41354,745.823,268.0788839,196.5858016,1.363673682,0.679890914,41832,229.4636096,0.772914175,0.988573341,0.934234375,0.855955554,0.006482538,0.002146494,0.732659911,0.999109038,3
166686,1562.858,600.5925994,356.094922,1.686608155,0.805271719,168333,460.6855834,0.825832342,0.990215822,0.857570728,0.767051715,0.003603138,0.000769412,0.588368333,0.992346829,2
65617,977.81,351.8985886,238.9379581,1.472761345,0.734141381,66608,289.0435248,0.715491391,0.985121907,0.862416954,0.821383018,0.005362918,0.001505788,0.674670063,0.993627989,1
63278,1028.037,358.9810719,226.0999955,1.587709328,0.776726355,64508,283.8451196,0.767731916,0.980932598,0.752393642,0.790696618,0.005673079,0.001367849,0.625201142,0.992637686,1
38331,702.785,237.5984187,205.9284597,1.153791074,0.498815772,38639,220.9175072,0.787974098,0.992028779,0.975247951,0.929793676,0.006198597,0.002857719,0.86451628,0.997471168,3
78136,1200.683,413.4783417,241.6903031,1.710777538,0.811372431,79916,315.413768,0.739980302,0.977726613,0.681089704,0.762830205,0.005291778,0.001105332,0.581909921,0.995518422,1
42659,750.109,250.8943863,217.153824,1.155376321,0.500876329,43069,233.0560571,0.741895652,0.990480392,0.952734259,0.928901043,0.005881394,0.002701082,0.862857148,0.996924717,3
201447,1780.967,660.7194827,400.6828906,1.648983518,0.795133675,210441,506.4487008,0.693150968,0.95726118,0.798102963,0.766510923,0.003279868,0.000698408,0.587538996,0.96884212,2
83112,1139.537,393.3455569,269.348653,1.460358359,0.728765425,84375,325.3021442,0.747309266,0.985031111,0.804297531,0.827013649,0.004732717,0.001365655,0.683951575,0.9988144,1
44737,765.217,264.9758004,215.2640622,1.230933755,0.583112518,45101,238.6648644,0.785135135,0.991929226,0.960080176,0.900704382,0.005922968,0.00240463,0.811268383,0.998617637,3
45654,779.187,268.0358794,217.2553626,1.23373654,0.585675224,46140,241.0984823,0.74842623,0.98946684,0.944942326,0.899500779,0.005871027,0.002370828,0.809101652,0.998218272,3
42379,759.965,251.0375673,215.2179124,1.166434357,0.514794568,42840,232.2899453,0.763585586,0.989239029,0.922090156,0.925319456,0.005923631,0.002678765,0.856216096,0.998719872,3
41607,756.279,288.94124,183.6813274,1.573057229,0.771932272,41983,230.164458,0.708204255,0.991043994,0.914138888,0.796578772,0.006944534,0.001724796,0.63453774,0.998164178,3
160359,1496.093,534.1527617,384.1252535,1.39056924,0.694875602,162102,451.8577433,0.757296271,0.989247511,0.900297453,0.845933552,0.003330981,0.001052197,0.715603575,0.99509632,2
36975,692.588,239.6615036,196.5264131,1.219487497,0.572339727,37239,216.974727,0.757436087,0.992910658,0.968652763,0.905338253,0.006481717,0.002686045,0.819637353,0.999537503,3
33089,663.915,217.3358221,194.2070489,1.119093377,0.448903019,33466,205.2564817,0.774410223,0.988734835,0.94334064,0.944420849,0.00656822,0.003223218,0.891930741,0.998153785,3
180089,1610.86,609.1865542,377.714964,1.61282081,0.784576773,181809,478.8490747,0.715274689,0.990539522,0.872130461,0.78604669,0.003382697,0.000796593,0.6178694,0.996512625,2
