"","Date","total"
"1",2010-03-01,539.577
"2",2010-03-02,224.675
"3",2010-03-03,129.412
"4",2010-03-04,317.12
"5",2010-03-05,210.517
"6",2010-03-06,207.364
"7",2010-03-07,263.043
"8",2010-03-08,248.958
"9",2010-03-09,344.291
"10",2010-03-10,248.428
"11",2010-03-11,281.42
"12",2010-03-12,243.568
"13",2010-03-13,308.178
"14",2010-03-14,363.402
"15",2010-03-15,336.872
"16",2010-03-16,246.992
"17",2010-03-17,308.88
"18",2010-03-18,233.126
"19",2010-03-19,404.38
"20",2010-03-20,298.56
"21",2010-03-21,229.249
"22",2010-03-22,236.304
"23",2010-03-23,297.174
"24",2010-03-24,409.401
"25",2010-03-25,231.035
"26",2010-03-26,238.826
"27",2010-03-27,235.598
"28",2010-03-28,242.112
"29",2010-03-29,490.79
"30",2010-03-30,289.657
"31",2010-03-31,298.459
"32",2010-04-01,323.603
"33",2010-04-02,616.453
"34",2010-04-03,346.035
"35",2010-04-04,307.645
"36",2010-04-05,253.847
"37",2010-04-06,530.944
"38",2010-04-07,333.359
"39",2010-04-08,306.356
"40",2010-04-09,416.83
"41",2010-04-10,415.187
"42",2010-04-11,268.002
"43",2010-04-12,234.503
"44",2010-04-13,234.724
"45",2010-04-14,230.064
"46",2010-04-15,357.394
"47",2010-04-16,259.246
"48",2010-04-17,244.235
"49",2010-04-18,402.607
"50",2010-04-19,255.061
"51",2010-04-20,342.606
"52",2010-04-21,268.64
"53",2010-04-22,188.601
"54",2010-04-23,202.022
"55",2010-04-24,213.509
"56",2010-04-25,316.849
"57",2010-04-26,286.412
"58",2010-04-27,303.447
"59",2010-04-28,304.95
"60",2010-04-29,331.9
